,Loss,Train Acc,Val Acc
0,0.6233777002990246,66.359375,64.9375
1,0.6603426644206047,65.0625,66.0625
2,0.6014523434638978,69.5,65.75
3,0.582400519400835,71.015625,65.875
4,0.5900129077583551,71.28125,67.125
5,0.574369672164321,71.234375,65.375
6,0.5413731400296092,73.5625,67.5
7,0.5370142169296741,73.640625,66.3125
8,0.5523611798137427,72.859375,67.25
9,0.5131430992484093,75.859375,67.3125
10,0.501179700307548,76.109375,66.875
11,0.4853128432109952,77.453125,67.125
12,0.47416254960000515,77.921875,67.75
13,0.542522337436676,73.09375,63.3125
14,0.43085021048784256,80.46875,67.1875
15,0.425601249486208,80.25,69.5
16,0.41657495733350514,80.09375,69.4375
17,0.41644838236272336,81.328125,69.5
18,0.3890517337061465,82.296875,69.5
19,0.3925094423443079,82.390625,69.75
20,0.34848943039774893,84.734375,68.3125
21,0.33880267940461634,85.03125,69.25
22,0.3647975023277104,84.4375,67.8125
23,0.3188739408366382,86.390625,71.1875
24,0.3031708445213735,87.046875,70.4375
25,0.2989407073706388,86.6875,71.5
26,0.29343513425439594,87.34375,69.75
27,0.27399085806682705,88.796875,70.875
28,0.27249859377741814,88.3125,70.9375
29,0.2619086146261543,88.359375,70.1875
