,Loss,Train Acc,Val Acc
0,0.5361852295127051,74.53773375000732,73.90219815191395
1,0.5383524156581873,73.00100188705696,71.88123965691663
2,0.5303271669542593,72.80110193621451,72.23054129777555
3,0.5319311980275379,73.67566470442146,73.8023974709882
4,0.5107128783904095,75.73713375245971,75.04990281887397
5,0.4943637432142355,75.7808620733121,76.34730776484142
6,0.5039075307626238,74.74388056787951,74.02694850624678
7,0.4907145649418123,76.02449031069182,76.47205809633175
8,0.4890776968922751,76.61169651494748,77.34531183299904
9,0.49387611634191547,76.19315587491289,75.22455347940594
10,0.49731765486400525,75.79335579593321,75.57385475478486
11,0.4938009306453336,75.75587451940534,75.0249528485144
12,0.47762330321000257,77.34258134718957,76.39720800251304
13,0.47976113196791914,76.74912805857508,76.4970083408013
14,0.4751692646625696,76.98650919443843,76.7964096297761
15,0.5080988509008015,74.96252134285946,74.92515214474615
16,0.4853219714970782,76.94278105088081,77.6696631151759
17,0.4818848441655132,77.28011253963167,76.92116014400642
18,0.5047452371048069,74.9437805873522,74.65070119161092
19,0.4953609688662696,76.65542481292313,77.34531178731405
