,Train Acc,Val Acc
0,74.90625,72.25
1,75.84375,71.6875
2,77.90625,77.5625
3,79.171875,76.9375
4,81.25,77.5625
5,82.859375,74.0625
6,83.859375,76.1875
7,85.640625,76.0625
8,87.703125,69.8125
9,88.421875,75.4375
